,car_name,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,selling_price
0,Maruti Alto,Maruti,Alto,9,120000,Petrol,Manual,19.7,120000
1,Hyundai Grand,Hyundai,Grand,5,20000,Petrol,Manual,18.9,550000
2,Hyundai i20,Hyundai,i20,11,60000,Petrol,Manual,17,215000
3,Maruti Alto,Maruti,Alto,9,37000,Petrol,Manual,20.92,226000
4,Ford Ecosport,Ford,Ecosport,6,30000,Diesel,Manual,22.77,570000
5,Maruti Wagon R,Maruti,Wagon R,8,35000,Petrol,Manual,18.9,350000
6,Hyundai i10,Hyundai,i10,8,40000,Petrol,Manual,20.36,315000
7,Maruti Wagon R,Maruti,Wagon R,3,17512,Petrol,Manual,20.51,410000
8,Hyundai Venue,Hyundai,Venue,2,20000,Petrol,Automatic,18.15,1050000
12,Maruti Swift,Maruti,Swift,4,28321,Petrol,Manual,16.6,511000
14,Hyundai Verna,Hyundai,Verna,8,65278,Diesel,Manual,22.32,425000
15,Renault Duster,Renault,Duster,5,50000,Diesel,Manual,19.64,750000
16,Mini Cooper,Mini,Cooper,4,6000,Petrol,Automatic,14.41,3250000
17,Maruti Ciaz,Maruti,Ciaz,5,76000,Diesel,Manual,28.09,650000
18,Maruti Swift,Maruti,Swift,5,20000,Diesel,Manual,25.2,627000
19,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,Diesel,Automatic,19.27,1425000
20,Maruti Swift,Maruti,Swift,7,62200,Diesel,Manual,28.4,425000
21,Toyota Innova,Toyota,Innova,8,110000,Diesel,Manual,12.99,605000
22,Maruti Baleno,Maruti,Baleno,6,20000,Petrol,Manual,21.4,600000
23,Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Petrol,Manual,20.85,575000
25,Volkswagen Vento,Volkswagen,Vento,8,47000,Petrol,Manual,16.09,425000
26,Maruti Alto,Maruti,Alto,8,25000,Petrol,Manual,20.92,230000
27,Hyundai Creta,Hyundai,Creta,2,15000,Diesel,Manual,19.67,1225000
29,Honda City,Honda,City,6,50000,Petrol,Manual,17.4,750000
30,Mahindra Bolero,Mahindra,Bolero,10,25000,Diesel,Manual,13.6,350000
31,Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Diesel,Manual,26.59,600000
32,Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,Diesel,Manual,26.59,390000
33,Honda City,Honda,City,14,77253,Petrol,Manual,17.7,145000
34,Hyundai i20,Hyundai,i20,3,25000,Petrol,Manual,17.19,700000
35,Toyota Fortuner,Toyota,Fortuner,8,110000,Diesel,Manual,13,1150000
36,Renault KWID,Renault,KWID,4,30000,Petrol,Manual,23.01,340000
37,Honda Amaze,Honda,Amaze,5,39993,Petrol,Manual,18.6,465000
38,Hyundai Santro,Hyundai,Santro,12,80000,Petrol,Manual,17.92,125000
39,Mahindra XUV500,Mahindra,XUV500,9,185000,Diesel,Manual,15.1,600000
40,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Diesel,Manual,23.4,380000
44,Hyundai i20,Hyundai,i20,3,15000,Diesel,Manual,22.54,850000
45,Hyundai i20,Hyundai,i20,3,40000,Petrol,Manual,18.6,598000
46,Honda City,Honda,City,6,31180,Petrol,Automatic,18,700000
50,Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Diesel,Manual,23.4,410000
53,Maruti Baleno,Maruti,Baleno,5,52427,Petrol,Automatic,21.4,590000
54,Mahindra Bolero,Mahindra,Bolero,1,40000,Diesel,Manual,21,850000
