,car_name,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,selling_price
0,Maruti Alto,Maruti,Alto,2014,120000,Petrol,Manual,19.7,120000
1,Hyundai Grand,Hyundai,Grand,2018,20000,Petrol,Manual,18.9,550000
2,Hyundai i20,Hyundai,i20,2012,60000,Petrol,Manual,17.0,215000
3,Maruti Alto,Maruti,Alto,2014,37000,Petrol,Manual,20.92,226000
4,Ford Ecosport,Ford,Ecosport,2017,30000,Diesel,Manual,22.77,570000
5,Maruti Wagon R,Maruti,Wagon R,2015,35000,Petrol,Manual,18.9,350000
6,Hyundai i10,Hyundai,i10,2015,40000,Petrol,Manual,20.36,315000
7,Maruti Wagon R,Maruti,Wagon R,2020,17512,Petrol,Manual,20.51,410000
8,Hyundai Venue,Hyundai,Venue,2021,20000,Petrol,Automatic,18.15,1050000
9,Maruti Swift,Maruti,Swift,2019,28321,Petrol,Manual,16.6,511000
10,Hyundai Verna,Hyundai,Verna,2015,65278,Diesel,Manual,22.32,425000
11,Renault Duster,Renault,Duster,2018,50000,Diesel,Manual,19.64,750000
12,Mini Cooper,Mini,Cooper,2019,6000,Petrol,Automatic,14.41,3250000
13,Maruti Ciaz,Maruti,Ciaz,2018,76000,Diesel,Manual,28.09,650000
14,Maruti Swift,Maruti,Swift,2018,20000,Diesel,Manual,25.2,627000
15,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,2016,65000,Diesel,Automatic,19.27,1425000
16,Maruti Swift,Maruti,Swift,2016,62200,Diesel,Manual,28.4,425000
17,Toyota Innova,Toyota,Innova,2015,110000,Diesel,Manual,12.99,605000
18,Maruti Baleno,Maruti,Baleno,2017,20000,Petrol,Manual,21.4,600000
19,Maruti Swift Dzire,Maruti,Swift Dzire,2018,40000,Petrol,Manual,20.85,575000
20,Volkswagen Vento,Volkswagen,Vento,2015,47000,Petrol,Manual,16.09,425000
21,Maruti Alto,Maruti,Alto,2015,25000,Petrol,Manual,20.92,230000
22,Hyundai Creta,Hyundai,Creta,2021,15000,Diesel,Manual,19.67,1225000
23,Honda City,Honda,City,2017,50000,Petrol,Manual,17.4,750000
24,Mahindra Bolero,Mahindra,Bolero,2013,25000,Diesel,Manual,13.6,350000
25,Maruti Swift Dzire,Maruti,Swift Dzire,2017,90000,Diesel,Manual,26.59,600000
26,Maruti Swift Dzire,Maruti,Swift Dzire,2015,45000,Diesel,Manual,26.59,390000
27,Honda City,Honda,City,2009,77253,Petrol,Manual,17.7,145000
28,Hyundai i20,Hyundai,i20,2020,25000,Petrol,Manual,17.19,700000
29,Toyota Fortuner,Toyota,Fortuner,2015,110000,Diesel,Manual,13.0,1150000
30,Renault KWID,Renault,KWID,2019,30000,Petrol,Manual,23.01,340000
31,Honda Amaze,Honda,Amaze,2018,39993,Petrol,Manual,18.6,465000
32,Hyundai Santro,Hyundai,Santro,2011,80000,Petrol,Manual,17.92,125000
33,Mahindra XUV500,Mahindra,XUV500,2014,185000,Diesel,Manual,15.1,600000
34,Maruti Swift Dzire,Maruti,Swift Dzire,2015,90000,Diesel,Manual,23.4,380000
35,Hyundai i20,Hyundai,i20,2020,15000,Diesel,Manual,22.54,850000
36,Hyundai i20,Hyundai,i20,2020,40000,Petrol,Manual,18.6,598000
37,Honda City,Honda,City,2017,31180,Petrol,Automatic,18.0,700000
38,Maruti Swift Dzire,Maruti,Swift Dzire,2016,56000,Diesel,Manual,23.4,410000
39,Maruti Baleno,Maruti,Baleno,2018,52427,Petrol,Automatic,21.4,590000
40,Mahindra Bolero,Mahindra,Bolero,2022,40000,Diesel,Manual,21.0,850000
41,Mahindra KUV100,Mahindra,KUV100,2020,17000,Petrol,Manual,18.15,550000
42,Maruti Baleno,Maruti,Baleno,2018,22000,Petrol,Manual,15.4,625000
43,Maruti Swift Dzire,Maruti,Swift Dzire,2018,54000,Petrol,Manual,20.85,600000
44,Maruti Wagon R,Maruti,Wagon R,2021,10000,Petrol,Manual,20.51,445000
45,Maruti Ignis,Maruti,Ignis,2021,20000,Petrol,Manual,20.89,530000
46,Maruti Wagon R,Maruti,Wagon R,2020,53237,CNG,Manual,26.6,410000
47,Datsun RediGO,Datsun,RediGO,2020,27263,Petrol,Manual,22.5,350000
48,Hyundai Verna,Hyundai,Verna,2016,110000,Diesel,Manual,22.32,520000
49,Hyundai i20,Hyundai,i20,2018,70000,Diesel,Manual,22.54,750000
50,Maruti Swift Dzire,Maruti,Swift Dzire,2019,70000,Diesel,Manual,26.59,560000
51,Hyundai i20,Hyundai,i20,2021,39000,Petrol,Manual,18.6,655000
52,Hyundai Santro,Hyundai,Santro,2009,56000,Petrol,Manual,17.8,125000
53,Hyundai i20,Hyundai,i20,2020,34000,Petrol,Manual,18.6,550000
54,Mahindra Scorpio,Mahindra,Scorpio,2019,50000,Diesel,Manual,15.4,1150000
55,Volkswagen Vento,Volkswagen,Vento,2014,77400,Diesel,Manual,20.54,500000
56,Mahindra Marazzo,Mahindra,Marazzo,2021,36000,Diesel,Manual,17.3,990000
57,Hyundai Verna,Hyundai,Verna,2015,47876,Diesel,Manual,25.0,551000
58,Mahindra XUV500,Mahindra,XUV500,2020,21500,Diesel,Automatic,15.1,1650000
59,Hyundai Grand,Hyundai,Grand,2017,75000,Diesel,Manual,24.0,350000
60,Ford Aspire,Ford,Aspire,2019,58000,Petrol,Manual,18.16,500000
61,Maruti Swift Dzire,Maruti,Swift Dzire,2020,30000,Petrol,Manual,21.21,575000
62,Hyundai Grand,Hyundai,Grand,2020,50000,Diesel,Manual,24.0,545000
63,Ford Figo,Ford,Figo,2019,19093,Petrol,Manual,18.16,525000
64,Honda Amaze,Honda,Amaze,2016,50000,Petrol,Manual,18.0,400000
65,Maruti Wagon R,Maruti,Wagon R,2008,37000,Petrol,Manual,14.0,155000
66,Maruti Swift Dzire,Maruti,Swift Dzire,2018,47000,Diesel,Manual,26.59,545000
67,Honda City,Honda,City,2015,70000,Petrol,Manual,16.8,545000
68,Renault KWID,Renault,KWID,2018,25000,Petrol,Manual,25.17,240000
69,Maruti Vitara,Maruti,Vitara,2020,26000,Diesel,Manual,24.3,725000
70,Ford Aspire,Ford,Aspire,2019,30000,Petrol,Manual,18.16,480000
71,Hyundai i20,Hyundai,i20,2015,15000,Petrol,Manual,18.5,375000
72,Maruti Swift,Maruti,Swift,2013,160000,Diesel,Manual,17.8,225000
73,Tata Tiago,Tata,Tiago,2019,32100,Petrol,Manual,23.84,400000
74,Hyundai i20,Hyundai,i20,2018,22000,Petrol,Manual,18.5,550000
75,Mahindra Scorpio,Mahindra,Scorpio,2018,44000,Diesel,Manual,15.4,1050000
76,Volkswagen Polo,Volkswagen,Polo,2018,78000,Petrol,Manual,18.78,450000
77,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,2014,74352,Petrol,Automatic,11.74,775000
78,Maruti Wagon R,Maruti,Wagon R,2016,37000,Petrol,Manual,20.51,350000
79,Honda City,Honda,City,2016,69000,Diesel,Manual,25.1,550000
80,Kia Seltos,Kia,Seltos,2021,12120,Petrol,Manual,16.8,1080000
81,Maruti Baleno,Maruti,Baleno,2018,52000,Petrol,Manual,21.01,575000
82,Toyota Innova,Toyota,Innova,2018,120000,Diesel,Manual,12.99,950000
83,Maruti Alto,Maruti,Alto,2015,55000,Petrol,Manual,22.74,230000
84,Hyundai i20,Hyundai,i20,2013,160000,Diesel,Manual,21.9,270000
85,Ford Figo,Ford,Figo,2013,40000,Petrol,Manual,15.6,130000
86,Maruti Swift Dzire,Maruti,Swift Dzire,2014,46000,Petrol,Manual,19.1,370000
87,Maruti Baleno,Maruti,Baleno,2019,25000,Petrol,Manual,21.4,570000
88,Volkswagen Polo,Volkswagen,Polo,2015,90000,Diesel,Manual,22.07,365000
89,Hyundai i20,Hyundai,i20,2014,49566,Petrol,Manual,18.5,280000
90,Hyundai Verna,Hyundai,Verna,2020,14000,Diesel,Automatic,22.0,1250000
91,Hyundai i20,Hyundai,i20,2018,11000,Petrol,Manual,18.6,590000
92,Maruti Celerio,Maruti,Celerio,2020,5000,Petrol,Automatic,23.1,475000
93,Ford Ecosport,Ford,Ecosport,2019,55000,Diesel,Manual,23.0,685000
94,Hyundai Verna,Hyundai,Verna,2014,65000,Diesel,Automatic,19.08,380000
95,Renault KWID,Renault,KWID,2020,22000,Petrol,Manual,23.01,330000
96,Maruti Baleno,Maruti,Baleno,2020,7671,Petrol,Manual,21.01,650000
97,Maruti Wagon R,Maruti,Wagon R,2018,66000,Petrol,Manual,20.51,325000
98,Maruti Swift Dzire,Maruti,Swift Dzire,2020,45156,Petrol,Automatic,21.21,640000
99,Hyundai Venue,Hyundai,Venue,2021,25000,Petrol,Manual,18.27,949000
100,Hyundai Verna,Hyundai,Verna,2017,120000,Diesel,Manual,23.9,660000
101,Maruti Swift,Maruti,Swift,2016,28000,Petrol,Manual,16.1,435000
102,Hyundai i20,Hyundai,i20,2015,55000,Diesel,Manual,21.9,385000
103,Hyundai Verna,Hyundai,Verna,2021,14000,Diesel,Automatic,22.0,1250000
104,Maruti Wagon R,Maruti,Wagon R,2011,98780,Petrol,Manual,18.9,155000
105,Maruti Swift,Maruti,Swift,2017,58000,Diesel,Manual,25.2,415000
106,Maruti Alto,Maruti,Alto,2013,30000,Petrol,Manual,20.92,251000
107,Mahindra Scorpio,Mahindra,Scorpio,2018,46400,Diesel,Manual,15.4,1150000
108,Hyundai i10,Hyundai,i10,2016,32111,Petrol,Manual,19.81,310000
109,Datsun GO,Datsun,GO,2017,35000,Petrol,Manual,19.44,350000
110,Mahindra Scorpio,Mahindra,Scorpio,2019,30000,Diesel,Manual,15.4,1125000
111,BMW 5,BMW,5,2018,63000,Diesel,Automatic,18.59,2600000
112,Datsun GO,Datsun,GO,2020,10000,Petrol,Manual,20.62,480000
